btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2019-12-04,3.625189695206638,4,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-05,-0.5455544074905471,2,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-06,0.9126595584318299,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-08,-0.031033368594973992,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-09,0.32482449223699805,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-10,0.26600928530771195,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-12,0.808422711610852,2,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-15,0.056070390091388006,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-16,0.9188822145631181,7,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-17,0.9438596776219124,9,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-18,-0.8486700337673332,18,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-19,-0.334732361510933,2,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-22,-0.3880387736779909,2,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-23,-0.16126167765177007,2,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-25,-0.05755311701510299,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-26,0.5020855692882568,4,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-29,-0.7673892653543231,2,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-31,-0.231349866620549,1,btcusdt,linear,futr_5_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.30000000000000004,5.5808163046780725
2019-12-04,3.42600174925889,1,btcusdt,linear,futr_10_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.7000000000000001,3.1945974022838137
2019-12-17,0.521993045774009,1,btcusdt,linear,futr_10_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.7000000000000001,3.1945974022838137
2019-12-19,-0.753397392749085,1,btcusdt,linear,futr_10_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.7000000000000001,3.1945974022838137
2019-12-04,3.02766751827737,1,btcusdt,linear,futr_20_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.7000000000000001,1.3428710983847922
2019-12-18,-0.960179679677984,1,btcusdt,linear,futr_20_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.7000000000000001,1.3428710983847922
2019-12-19,-0.724616740214594,1,btcusdt,linear,futr_20_askbid_cum_5000_weighted_avg_perc_chg,423,400000,7200,0.7000000000000001,1.3428710983847922
