btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2019-11-24,2.167247973206743,28,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-25,5.383158525072339,24,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-26,0.836329502868765,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-27,1.0980559138106862,12,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-28,1.357021766698259,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-29,1.492756536556879,5,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-30,0.47991602731190197,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-01,0.6652760641525766,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-04,4.774016811034157,8,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-05,0.36276101843904396,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-06,0.42769946445266094,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-08,0.006856757259791013,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-09,0.4672470261888723,3,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-10,0.261122875530561,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-12,0.5569402072378276,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-15,0.03657421919012602,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-16,-0.6344640707241532,16,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-17,0.18878093411523705,12,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-18,0.30735049905819967,44,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-19,-3.9995613096860407,21,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-20,-0.5367218223225497,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-21,-0.46089554345192696,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-22,-0.543835355031839,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-23,-0.781001645369718,6,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-24,0.22265371130301,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-25,-0.06351033308877539,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-26,0.13688530271918167,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-27,0.120793454699234,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-29,-1.1701031744553563,9,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-30,0.13266133998208998,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-12-31,-0.30859186131085325,3,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2020-01-03,2.010323848236278,5,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2020-01-04,-0.500419104652388,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2020-01-05,0.197520162134758,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2020-01-06,-0.2383236125625156,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,15.419121381468768
2019-11-24,1.1991985493797808,12,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-11-25,5.106295563842489,38,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-11-26,0.38828296609231705,4,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-11-27,8.46236574169858,40,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-11-28,-0.10366107861953602,2,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-11-29,0.932775870613308,5,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-11-30,1.0522829728821148,9,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-12-01,-2.5783680632412023,15,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-12-02,1.123042905783036,6,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-12-03,0.32203466344074605,1,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-12-04,3.575518709771432,12,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
2019-12-05,-0.987493002616641,1,btcusdt,sgd,futr_8_askbid_cum_5000_weighted_avg_perc_chg,413,400000,1440,0.2,18.260793636697525
