btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2018-08-04,1.4411251599922763,26,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-05,7.550942212240853,341,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-06,6.905694781628341,181,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-07,-1.1077058832576352,378,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-08,4.626564619368941,606,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-09,15.28157648907925,467,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-10,14.880296886305505,426,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-11,15.235268093782235,640,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-12,20.21703146949088,268,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-13,9.608592726022165,248,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-14,32.78933774824181,658,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-15,14.309764613370913,370,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-16,13.79217180705491,178,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-17,10.423624811161934,208,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-18,8.99059395883427,165,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-19,12.177317050861165,247,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-20,6.167131129838615,221,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-21,15.893605625473368,208,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-22,8.520026775947745,262,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-23,13.280823698531163,164,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-24,8.553473203202083,134,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-25,5.02187367504343,83,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-26,2.7499688140236103,57,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-27,0.6157142184363096,61,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-28,3.175155593132539,167,btcusdt,linear,futr_4_close_perc_chg,156,none,1440,0.02,109.7576120885927
2018-08-04,3.010311198970457,34,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-05,6.766952195737468,294,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-06,6.85407734531049,199,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-07,2.338650062820692,385,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-08,12.079838582300455,618,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-09,18.18211583885335,471,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-10,18.40986649133718,406,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-11,12.037111962350739,512,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-12,21.15765172463078,289,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-13,5.963458728870388,111,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-14,41.69633268755389,474,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-15,12.082813932106053,296,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-16,13.737614017295202,142,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-17,11.847872553727168,251,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-18,4.610150634945557,85,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-19,13.11093795277581,186,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-20,3.9760622172480686,182,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-21,12.099367416801854,195,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-22,6.940699254712991,188,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-23,9.306006074237422,128,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-24,6.43349351592174,107,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-25,4.195593464666619,61,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-26,2.761376684515393,28,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
2018-08-27,0.513997214156442,48,btcusdt,linear,futr_5_close_perc_chg,156,none,1440,0.0,102.15152890647524
