ethusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2018-06-22,5.632977253959971,690,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-23,14.57398459420799,744,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-24,5.579969772587678,850,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-25,12.269204204228394,781,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-26,5.43638329157793,413,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-27,9.98039952548159,584,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-28,5.749874457851475,707,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-29,9.699053107513878,781,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-30,10.67660867375331,836,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-01,11.668733626329235,815,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-02,9.647850929858828,745,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-03,6.217112701413486,773,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-04,6.860945426044355,513,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-05,7.247419176814059,801,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-06,8.625736172584759,763,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-07,9.844256277562328,731,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-08,3.786244591360093,731,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-09,7.551302050826767,668,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-10,0.48299271978549624,732,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-11,8.663289017388792,718,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-12,6.361252515927242,713,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-13,6.496014294982723,713,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-14,8.281033362792359,713,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-15,9.069597296878058,747,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-16,11.231341056048583,748,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-17,13.856218046465777,803,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-18,5.470320249630339,909,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-07-19,2.817957498689707,818,ethusdt,linear,futr_1_close_perc_chg,170,none,1440,0.0,150.54674780837965
2018-06-22,-24.132882565233114,845,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-23,13.46063039939984,779,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-24,-5.298215780604916,1046,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-25,12.255058341792346,777,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-26,-13.237657157992135,428,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-27,8.552566921374885,537,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-28,-8.028062141473827,731,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-29,11.449046115898799,797,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-30,17.970157902091913,930,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-01,10.142912691223271,857,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-02,23.67051017274481,653,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-03,-1.8833839954219027,813,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-04,1.3836292713875693,537,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-05,5.150374480478338,801,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-06,7.03560400627297,704,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-07,22.593495694592324,679,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-08,-1.0880913275994584,806,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-09,-3.058999533369388,465,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-10,-4.337642864840577,624,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-11,13.23717663966307,681,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-12,-6.782510036659874,757,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-13,2.2242291964346648,786,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-14,11.657375872604604,722,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-15,16.40803004919638,832,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-16,15.268502825988124,591,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-17,22.84878183267527,800,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-18,-12.96016144232551,1040,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-07-19,-12.450165637186545,891,ethusdt,linear,futr_5_close_perc_chg,170,none,1440,0.0,30.38280865863456
2018-06-22,14.198717224924074,222,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-23,-0.196298996633396,14,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-24,21.50699100065001,148,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-25,-0.5489075747634756,21,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-26,-1.2768084842965952,15,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-27,-0.48571941151681247,37,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-28,0.5516998229075458,43,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-29,8.04571350585705,54,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-30,-0.2841694198663723,19,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-01,0.4760929866621028,4,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-02,5.525322895476466,14,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-03,1.648799274422687,27,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-04,0.3208278993419458,14,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-05,-1.1933174434622238,14,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-06,1.3374242057303993,15,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-07,5.243639352879996,10,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-08,0.13978864971540655,2,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-09,-0.2506396643973604,6,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-10,2.6070655910501763,48,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-11,1.8916966518136369,12,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-12,5.289667476428985,24,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-13,0.8457990089570689,32,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-14,-1.6944254343421075,7,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-15,-0.024574048721762637,2,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-16,0.298158507608561,3,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-17,23.16546346392048,25,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-18,-8.636056957156693,61,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-07-19,-1.4088444493816654,12,ethusdt,linear,futr_10_close_perc_chg,170,none,1440,0.1,26.440725586737585
2018-06-22,20.347594343796718,34,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-23,-0.4495317377731582,1,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-24,6.432247436988895,15,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-25,-1.9752911229639505,6,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-26,-0.4873350238262856,3,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-27,-0.6023701530147493,8,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-28,-0.11356015304934008,6,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-29,4.565822908870412,10,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-30,-1.7465728648680545,2,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-01,-0.1851811027093829,1,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-02,3.5332564468801486,5,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-03,-0.08359367546620744,2,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-04,-0.8727682442187952,5,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-05,-0.6711532308314102,2,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-06,0.00047269356077886404,2,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-07,4.622033046208118,5,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-10,1.84964743415442,5,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-11,0.6521036655591088,2,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-12,2.559020246515018,4,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-13,1.5943507505445855,7,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-14,-0.4176461190862088,1,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-15,0.07500170458419148,1,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-17,34.50242674189945,19,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-07-19,-1.7986138738248236,1,ethusdt,linear,futr_15_close_perc_chg,170,none,1440,0.4,19.562352738745474
2018-06-22,24.50347790985556,42,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-23,-1.0176899063475515,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-24,13.115314450787116,15,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-25,-1.7425353476595,3,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-26,-0.8997859292521299,3,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-27,-1.3178688085859784,9,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-28,0.06825149143461134,5,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-29,4.020197217249854,11,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-01,-0.18077202883534166,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-02,7.563629848946709,5,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-03,0.0830476352718184,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-04,-1.0634694554897552,4,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-05,-0.6243903109181592,2,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-06,0.06669811185603441,2,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-07,5.767498903472656,4,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-08,0.12331976815882885,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-10,1.3169068300131441,3,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-11,0.9677882611633872,4,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-12,0.6128040354009392,3,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-13,1.409793308716131,8,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-14,-0.6184814113243801,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-15,0.09772949385213456,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-17,41.429429428194325,19,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-07-19,-1.8300215666157065,1,ethusdt,linear,futr_20_close_perc_chg,170,none,1440,0.5,20.542606963584078
2018-06-22,27.351012235883097,43,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-23,-1.0447450572320462,1,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-24,8.486472466789563,16,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-25,-0.681117905369035,2,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-26,-0.824505124632863,3,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-27,-2.7393175930054463,6,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-28,0.05663734166828453,5,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-06-29,4.7912588183949305,11,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-01,-0.19179471352042604,1,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-02,3.624352116197688,5,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-03,0.23020724124686087,2,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-04,-0.9302364844489631,5,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-05,-0.17086805189326068,1,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-06,-0.24945916275281915,2,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-07,7.50967890681468,5,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-10,1.961772386844147,4,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-11,0.10623955231860172,3,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
2018-07-12,1.6182015256527076,3,ethusdt,linear,futr_25_close_perc_chg,170,none,1440,0.6000000000000001,18.664305238417704
