btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2019-11-26,0.846800618379865,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-11-27,2.810281585794907,5,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-11-28,1.357021766698259,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-11-29,2.0683166935233217,5,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-11-30,0.47991602731190197,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-01,0.7139960781939173,6,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-04,4.401169672239125,6,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-05,-1.147313494246099,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-06,-0.9266708604144709,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-08,0.006856757259791013,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-09,0.336861659373678,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-10,0.261122875530561,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-12,0.09743411927878201,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-15,-0.1798686050825356,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-16,0.12597939056030882,11,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-17,0.7253105891025492,7,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-18,-1.7982087834572051,14,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-19,-2.027963662838507,11,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-20,-0.34346794826987903,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-21,-0.0845757633177596,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-22,0.2553085846222516,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-23,-0.31673208368777095,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-24,0.666102650340588,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-25,-0.3115113789843151,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-26,0.3582013607696951,3,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-28,-0.2620554140675143,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-29,-0.7243751180204483,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-30,0.13266133998208998,1,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2019-12-31,-0.1441497730009176,2,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2020-01-03,1.6503686483839106,9,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2020-01-04,-0.8595736273002315,4,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2020-01-05,-0.13895652599699002,3,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2020-01-06,0.7123064914317269,8,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
2020-01-07,0.69458898644794,3,btcusdt,sgd,futr_6_askbid_cum_5000_weighted_avg_perc_chg,415,none,1440,0.2,10.474393921547055
