btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2019-12-24,0.18797108585227798,1,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-25,-0.2193983495731867,1,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-26,0.40531535657596507,3,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-27,-0.13767570661915318,5,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-28,-0.265128848649208,1,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-29,-1.331322140667376,9,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-30,0.178506948924881,3,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-31,-0.5599041132411955,5,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2020-01-02,0.295211556500099,1,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2020-01-03,0.7011244981308801,9,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2020-01-06,0.8940186977461175,3,btcusdt,rf,futr_6_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.4,0.9258917178011435
2019-12-27,-0.3858526317268387,3,btcusdt,rf,futr_9_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.9,0.11109849499223146
2019-12-30,-0.38302746286801787,3,btcusdt,rf,futr_9_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.9,0.11109849499223146
2019-12-31,-0.04883112624712199,1,btcusdt,rf,futr_9_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.9,0.11109849499223146
2020-01-06,0.92880971583421,1,btcusdt,rf,futr_9_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.9,0.11109849499223146
2019-12-26,0.342013858523071,1,btcusdt,rf,futr_12_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.8,1.7568895091362302
2019-12-27,-1.310918270812881,7,btcusdt,rf,futr_12_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.8,1.7568895091362302
2019-12-29,-0.0929741289027891,1,btcusdt,rf,futr_12_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.8,1.7568895091362302
2020-01-03,3.3335415830164905,2,btcusdt,rf,futr_12_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.8,1.7568895091362302
2020-01-05,0.32212727670643904,2,btcusdt,rf,futr_12_askbid_cum_5000_weighted_avg_perc_chg,443,400000,7200,0.8,1.7568895091362302
