btcusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2019-12-16,-0.6680947249287901,1,btcusdt,linear,futr_6_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.20991051117115966
2019-12-17,0.282828720466337,1,btcusdt,linear,futr_6_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.20991051117115966
2019-12-18,-0.1200618790273164,1,btcusdt,linear,futr_6_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.20991051117115966
2019-12-19,-0.502745837133851,1,btcusdt,linear,futr_6_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.20991051117115966
2020-01-03,1.21798423179478,1,btcusdt,linear,futr_6_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.20991051117115966
2019-12-16,-0.880481007761673,1,btcusdt,linear,futr_9_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.4123792306074099
2019-12-17,0.518492414154531,1,btcusdt,linear,futr_9_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.4123792306074099
2019-12-18,-0.32202935382076503,1,btcusdt,linear,futr_9_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.4123792306074099
2019-12-19,-0.603374016712773,1,btcusdt,linear,futr_9_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.4123792306074099
2020-01-03,1.69977119474809,1,btcusdt,linear,futr_9_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.7000000000000001,0.4123792306074099
2019-12-14,0.044296285356571014,1,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-15,-0.24866861167353768,3,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-16,-0.9787185950364445,8,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-17,0.728535492590419,20,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-18,1.944122716136744,71,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-19,-3.2495922467594354,11,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-20,-0.41994331364830173,2,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-21,-0.04240615832546038,2,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-22,0.28952187649585204,6,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-23,-1.4498120120048932,6,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-24,0.734389364597547,2,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-25,0.055243175941747324,3,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-26,-0.0008452538039327995,8,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-27,1.158100894812442,2,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-28,-0.5937337732081067,3,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-29,-1.496394193519355,12,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-30,0.20171075352076398,1,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2019-12-31,-0.2268464650384782,2,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2020-01-03,1.4762675406675567,10,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2020-01-04,-1.1869788934602963,2,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
2020-01-05,-0.4967098118556459,3,btcusdt,linear,futr_12_askbid_cum_5000_weighted_avg_perc_chg,433,400000,7200,0.2,1.8364593525630504
