ethusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2018-06-01,15.602711209029144,124,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-02,32.94596454848587,193,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-03,60.55988255429289,210,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-04,52.55694356492223,235,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-05,73.62338154806423,290,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-06,21.18653108172363,160,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-07,15.572254161255765,142,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-08,9.766563296143902,111,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-09,0.1375666674979863,76,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-10,81.69638016537294,292,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-11,99.70702553819875,325,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-12,44.1243644600792,223,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-13,109.59845341062757,368,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-14,189.93731957561138,332,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-15,63.53510475401608,312,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-16,33.58187082605893,207,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-17,18.126218647912697,141,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-18,29.406735976136222,166,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-19,55.70260541255886,241,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-20,36.61250947744351,170,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-21,23.219284639429695,158,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-22,69.52979344922352,454,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-23,50.43231904731736,479,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-24,134.76524272121688,331,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-25,78.35883137157211,351,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-26,20.77207901107587,142,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-27,80.14734125221224,301,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-28,22.801138604021986,223,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-29,91.44778101189362,337,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-06-30,64.64532282444428,306,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
2018-07-01,20.24526020499343,216,ethusdt,xgb,futr_10_open_perc_chg,150,none,1440,0.1000000000000032,1700.3447810128328
