ethusdt_trade_date,daily_return,num_daily_trades,target_coin,model,target_col,start_days,training_mins,test_mins,optimal_buy_threshold,best_return
2018-06-12,12.203700786620796,124,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-13,30.85605930602328,249,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-14,57.489301631913065,236,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-15,12.892910523993349,152,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-16,9.319680390329896,109,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-17,5.407113050159604,72,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-18,11.778189731351492,74,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-19,6.748881406410133,68,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-20,6.669239138704631,50,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-21,3.644760692539358,50,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-22,37.505687213547645,226,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-23,16.759541781115303,128,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-24,41.065450614399204,228,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-25,19.39170020902684,152,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-26,5.207129061527971,85,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-27,12.96535874405723,116,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-28,2.0882272182338335,124,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-29,25.016701079701694,149,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-30,17.55223614876222,135,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-07-01,2.5313732725516385,91,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-07-02,16.82606676275789,99,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-07-03,4.8264279871837665,109,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-07-04,8.045997875785881,71,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-07-05,2.405239442358226,130,ethusdt,linear,futr_4_open_perc_chg,160,none,1440,0.1,369.19697406905493
2018-06-12,11.79241165036675,126,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-13,32.954766086280195,218,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-14,59.59630273594009,249,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-15,9.492676940127861,172,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-16,9.638702233055783,124,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-17,5.639817928413131,79,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-18,12.023027726145358,83,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-19,6.950508623266672,93,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-20,6.432950661350634,65,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-21,4.0808731833896426,56,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-22,35.55514438127773,220,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-23,17.461127981556817,137,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-24,47.15608836835022,234,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-25,23.278755731280178,164,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-26,4.089918876561138,97,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-27,13.617933159421735,141,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-28,2.196054317167214,139,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-29,24.13435002172512,168,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-30,16.888731155170934,154,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-07-01,5.182862623185464,110,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-07-02,18.87363064306122,142,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-07-03,6.213417544737092,133,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-07-04,9.761736329883162,102,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-07-05,3.9083142051441473,154,ethusdt,linear,futr_4_open_perc_chg,160,70000,1440,0.1,386.9201031068583
2018-06-12,14.209236332145641,137,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-13,33.614399018614506,231,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-14,59.83553391092203,260,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-15,9.76223113501726,181,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-16,9.145050841404057,123,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-17,5.530840973984527,83,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-18,12.332875024455863,86,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-19,5.824468089092776,93,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-20,4.553174202042055,73,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-21,3.5499242081762574,63,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-22,35.260232091617645,226,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-23,16.38347108276661,128,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-24,47.253559619178304,223,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-25,23.250478574325236,170,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-26,4.487599813723208,98,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-27,15.352996144392373,149,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-28,2.1845729248389394,146,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-29,23.45849225233069,173,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-30,18.467805645904907,164,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-07-01,4.875370360738119,116,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-07-02,18.583771664434053,153,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-07-03,5.931182258006193,140,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-07-04,10.15533285566263,106,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-07-05,4.051970137679393,158,ethusdt,linear,futr_4_open_perc_chg,160,60000,1440,0.1,388.0545691614533
2018-06-12,14.506268721409286,151,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-13,33.43723078328629,233,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-14,57.30057193697315,278,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-15,10.665868152731944,178,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-16,10.462643210099689,124,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-17,5.477502243816633,80,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-18,11.908843091599639,86,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-19,6.872137150645257,107,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-20,5.767331326014856,70,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-21,3.8372631030437026,60,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-22,35.69142740323968,227,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-23,16.845065468615413,127,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-24,49.745629418990696,238,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-25,26.046295736598356,189,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-26,5.397130782847792,108,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-27,14.31201871943335,168,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-28,3.071416887817,154,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-29,25.063423417260147,173,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-30,19.833563224380235,171,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-07-01,3.5894328571664835,124,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-07-02,19.082580290055756,169,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-07-03,6.4643990793535515,144,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-07-04,9.159000639676131,107,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-07-05,3.0569311403264563,153,ethusdt,linear,futr_4_open_perc_chg,160,50000,1440,0.1,397.5939747853815
2018-06-12,4.785128235547854,128,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-13,35.72890195854677,243,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-14,64.1364788849358,235,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-15,11.303688825951795,156,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-16,9.486502428898822,110,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-17,4.532103148519373,67,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-18,12.199338359258636,71,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-19,7.098507045638368,66,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-20,5.845469532351613,52,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-21,4.281318618351524,52,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
2018-06-22,39.02203702212792,234,ethusdt,linear,futr_5_open_perc_chg,160,none,1440,0.1,370.843419713757
